authors,title,conference,date start,date end,city,country,kind (invited / oral / poster),presentation number
"K. Goto, K. Sawada, K. Fujii, M. Hasuo, S. Morita",Evaluation of Particle Source Rate and Its Influence on Particle Transport in Fusion Plasma,21th International Conference on Spectral Line Shapes (ICSLS21),2012/06/03,2012/06/08,Saint Petersburg,Russia,oral,
"M. Hasuo, T. Shikama, K. Sawada, M. Goto, S. Morita, K.Mizushiri, K.Fujii",Spatial Distribution and Transport of Neutral Particles in a Fusion Plasma Reconstructed from Emission Observation,22th International Toki Conference (ITC-22),2012/11/19,2012/11/22,Toki,Japan,invited,
"K. Fujii, T. Shikama, M. Goto, S. Morita and M. Hasuo",Spectrally-resolved Fluctuation Measurement of the Balmer-α Line Emission from an LHD Plasma,1st Asia Pacific Transport Working Group (APTWG) International Conference,2011/06/14,2011/06/17,Toki,Japan,poster,
"K. Fujii, T. Shikama, M. Goto, S. Morita and M. Hasuo",Fast and high-resolution spectroscopy of a Balmer-α line profile for an LHD plasma,European Physical Society 38th Conference on Plasma Physics (EPS2011),2011/06/27,2011/07/01,Strasbourg,France,poster,
T. Shikama and M. Hasuo,Observation of a magnetic field effect on CH A2Δ-X2Π band spectra for the local diagnostics of hydrocarbon molecules in a magnetically confined plasma,19th International Conference on Plasma Surface Interactions in Controlled Fusion Devices (PSI19),2010/05/24,2010/05/28,San Diego,USA,,
"C. Bahrim, V.V. Khadilkar, H. Matsukuma and M. Hasuo",Disalignment of Ne*(2p10[J=1]) atoms due to He(1s2) atom collisions in glow discharges at 294 K,"41st Annual Meeting of the APS Division of Atomic, Molecular and Optical Physics (DAMOP2010)",2010/05/25,2010/05/29,Houston,USA,,
"K. Fujii, M. Goto, K. Sawada, T. Shikama, A. Iwamae, S Morita, and M. Hasuo",Analysis of Balmer-α and -β line intensities and shapes with a Monte-Carlo Neutral Transport Cord of Large Helical Device,20th International Conference on Spectral Line Shapes (ICSLS20),2010/06/06,2010/06/11,Newfoundland,Canada,,
"H.Matsukuma, C.Bahrim, T.Shikama and M.Hasuo",Depolarization of emission lines from polarized neon 2p10 atoms due to radiation re-absorption in a glow discharge plasma,European Physical Society 37th Conference on Plasma Physics,2010/06/21,2010/06/25,Dublin,Ireland,,
"T. Shikama, K. Fujii, S. Kado, H. Zushi, M. Sakamoto, A. Iwamae, M. Goto, S. Morita, and M. Hasuo",Plasma polarization spectroscopy of atomic and molecular emissions from magnetically confined plasmas,10th International Colloquium on Atomic Spectra and Oscillator Strengths for Astrophysical and Laboratory Plasmas (ASOS10),2010/08/03,2010/08/07,Berkeley,USA,invited,
"J. Yanagibayashi, M. Hasuo, M. Goto, C. F. Dong, S. Morita",Fe14+ and Fe15+ spatial distributions in LHD plasma observed with a multiple-viewing-chord extreme-ultraviolet spectrometer,20th International Toki Conference (ITC-20),2010/12/07,2010/12/10,Toki,Japan,,
"K. Fujii, T. Shikama, K. Sawada, M. Goto, S. Morita and M. Hasuo",A Collisional-Radiative Model for Hydrogen including Velocity Changing Collisions between Atoms and Protons,20th International Toki Conference (ITC-20),2010/12/07,2010/12/10,Toki,Japan,,
"K.Fujii, K.Mizushiri, T.Nishioka, T.Shikama, M.Hasuo, A.Iwamae, M.Goto, and S.Morita",Development a Multi-wavelength-range Fine-resolution Spectrometer for Hydrogen Atomic and Molecular Emission Lines,19th International Toki Conference (ITC-19),2009/12/08,2009/12/11,Toki,Japan,,
"J.Yanagibayashi, T.Nakano, A.Iwamae, H.Kubo, M.Hasuo, and K.Itami",Calculation of Highly Charged Tungsten Ion Spectra of a Plasma at Te = 2 〜10 keV and Comparison with JT-60 Spectra,1st international conference of Frontier in Diagnostics Technology (ICFDT1),2009/11/25,2009/11/27,Frascati,Italy,,
"K.Fujii, K.Mizushiri, T.Nishioka, T.Shikama, A.Iwamae, M.Goto, S.Morita, and M.Hasuo",Kinetic Energy Measurement of Hydrogen in LHD Peripheral Plasma with a Multi-wavelength-range Fine-resolution Spectrometer,1st international conference of Frontier in Diagnostics Technology (ICFDT1),2009/11/25,2009/11/27,Frascati,Italy,,
"C.Bahrim, V.Khadilkar, H.Matsukuma and M.Hasuo",Alignment relaxation of Ne*(2pi[J=1]) atoms in He- Ne* glow discharge,"26th International Conference on the Photonic, Electronic and Atomic Collisions (XXVI ICPEAC)",2009/06/22,2009/06/28,Michigan,USA,,
"K.Fujii, K.Mizushiri, T.Nishioka, T.Shikama, A.Iwamae, M.Goto, S.Morita and M.Hasuo",Development of a Multi-wavelength-range High-resolution Spectrometer for Hydrogen Emissions and its Application to the LHD Edge Plasma,16th International Conference on Atomic Processes in Plasmas (APiP2009),2009/03/22,2009/03/26,Monterey,USA,,
"V.Khadilkar, H.Matsukuma, M.Hasuo and C.Bahrim",Alignment relaxation of Ne*(2pi[J=1]) atoms due to collisions with He(1s2) atoms,61st Annual Gaseous Electronics Conference,2008/10/13,2008/10/17,Dallas,USA,,
"H.Matsukuma, C.Bahrim and M.Hasuo",Depolarization of excited Ne*(2p53p; J=1) atoms due to He atom collisions,14th International Congress on Plasma Physics (ICPP2008),2008/09/07,2008/09/12,Fukuoka,Japan,,
"K.Fujii, D.N.N.Quan, T.Shikama, A.Iwamae and M.Hasuo",Spectroscopic Diagnostics of Helium Discharge Produced during Sucrose Triboluminescence,14th International Congress on Plasma Physics (ICPP2008),2008/09/07,2008/09/12,Fukuoka,Japan,,
M.Hasuo,Relaxation of Atomic Polarization in a Plasma due to Atomic Collisions and Radiation Re-absorption,"Japan-Korea Core University Program Workshop ""Elementary Processes in Plasma and the Applications""",2007/11/12,2007/11/15,Daejeon,Korea,invited,
"M.Hasuo, K.Deguchi, T.Yoshida and T.Imagawa",Disalignment Rate Coefficient of 2p2 Neon Atoms due to Neon Atom Collisions in a Strong Magnetic Field,"25th International Conference on Photonic, Electronic and Atomic Collisions (ICPEAC2007)",2007/06/25,2006/06/31,Freiburg,Germany,,
"T.Imagawa, T.Yoshida, T.Fujimoto and M.Hasuo",Laser Induced Fluorescence Spectroscopy of Excited Neon Atoms in a Liquid-nitrogen-temperature Glow Discharge Plasma under a Strong Magnetic Field,5th International Conference on Atomic and Molecular Data and Their Applications (ICAMDATA05),2006/10/16,2006/10/19,Meudon,France,,
K.Deguchi and M.Hasuo,Relaxation of fluorescence polarization by radiation re-absorption in a near field regime,"9th International Conference on Near-Field Optics, Nanophotonics and Related Techniques (NFO9)",2006/09/10,2006/09/15,Lausanne,Switzerland,,
"M.Okuda, K.Deguchi, A.Iwamae, H.Nakamura, K.Sawada and M.Hasuo",Simulation of electric quadrupole and magnetic dipole transition efficiencies in optical near fields generated by a sub-wavelength slit array,"9th International Conference on Near-Field Optics, Nanophotonics and Related Techniques (NFO9)",2006/09/10,2006/09/15,Lausanne,Switzerland,,
"M.Okuda, K.Deguchi, A.Iwamae, H.Nakamura, K. Sawada and M. Hasuo",Simulation of optical near field of a sub-wavelength gold slit array and its electric quadrupole interaction with matter,7th International Conference on Excitonic Processes in Condensed Matter (EXCON7),2006/06/26,2006/06/30,Winston-Salem,USA,,
"M.Hasuo, A.Shimamoto and T.Fujiwara",Morphology changes of CuCl thin films induced by photo-irradiation,7th International Conference on Excitonic Processes in Condensed Matter (EXCON7),2006/06/26,2006/06/30,Winston-Salem,USA,,
"M.H.Naka, M.Hasuo, Y.Fuwa and K.Ikeuchi",Correlation between friction of articular cartilage and reflectance intensity from superficial images,1st International Conference on Advanced Tribology (iCAT 2004),2004/12/01,2004/12/03,,Singapore,,
"T.Fujimoto, M.Hasuo and M.Nimura",Cross sections for polarization relaxation of excited neon atoms by helium atom collisions: Disalignment and disorientation,14th International Toki Conference on Plasma Physics and Controlled Nuclear Fusion and 4th International Conference on Atomic and Molecular Data and Their Applications (ICAMDATA04),2004/10/05,2004/10/08,Toki,Japan,,
"M.H.Naka, Y.Arima, H.Iwata, M.Hasuo, Y.Fuwa, Y.Morita and K.Ikeuchi",A novel technique for evaluation of articular cartilage lubrication based on the surface plasmons resonance,31st Leeds-Lyon Symposium on Tribology,2004/09/07,2004/09/10,Leeds,United Kingdom,,
"M.Hasuo, A.Shimamoto and T.Fujimoto",Exciton Luminescence Spectra of CuCl Films and Their Change by Photo-irradiation,6th International Conference on Excitonic Processes in Condensed Matter (EXCON6),2004/07/06,2004/07/09,Cracow,Poland,,
"M.Nimura, M.Hasuo and T.Fujimoto",Relaxation of atomic polarization by radiation re-absorption,The Japan-US Workshop on Plasma Polarization Spectroscopy and The Fourth International Symposium on Plasma Polarization Spectroscopy,2004/02/04,2004/02/06,Kyoto,Japan,,
"M.Hasuo, S.Kasai, R.Mizutani and T.Fujimoto",Absorption Spectroscopy on Metastable Atoms in a Thin Discharge Cell: Examination of the Collision Dymanics,16th International Conference on Laser Spectroscopy (ICOL 03),2003/07/13,2003/07/18,PalmCove,Australia,,
"S.Tojo, Y.Mizutori, M.Hasuo and T.Fujimoto",Oscillator Strength Enhancement of an Electric Quadrupole Transition of Cesium Atoms in Evanescent Light,16th International Conference on Laser Spectroscopy (ICOL 03),2003/07/13,2003/07/18,PalmCove,Australia,,
"S.Kasai, R.Mizutani, R.Kondo, M.Hasuo and T.Fujimoto",Non-thermal Velocity Distribution of Metastable Argon Atoms in a Thin Discharge Cell,The 5th Asian International Seminar on Atomic and Molecular Physics (AISAMP5),2002/10/02,2002/10/05,Nara,Japan,,
"T.Yoshida, M.Hasuo and T.Fujimoto",Disalignment of Neon Atoms in Strong Magnetic Field,The 5th Asian International Seminar on Atomic and Molecular Physics (AISAMP5),2002/10/02,2002/10/05,Nara,Japan,,
"M.Seo, T.Shimamura, T.Furutani, M.Hasuo, C.Bahrim and T.Fujimoto",Disalignment Rate Coefficient of Neon Excited Atoms due to Helium Atom Collisions at Low Temperatures,The 5th Asian International Seminar on Atomic and Molecular Physics (AISAMP5),2002/10/02,2002/10/05,Nara,Japan,,
"M.Hasuo, A.Shimamoto and T.Fujimoto",Two-photon Excitation of Excitons in CuCl in Total Reflection Geometry,The 7th international Conference on Near-field Optics and Related Techniques (NFO7),2002/08/11,2002/08/15,Rochester,USA,,
"S.Tojo, M.Hasuo and T.Fujimoto",Absorption of evanescent light by Cs atoms of an optically forbidden transition,The 7th international Conference on Near-field Optics and Related Techniques (NFO7),2002/08/11,2002/08/15,Rochester,USA,,
"D.Schneble, M.Hasuo, T.Anker, T.Pfau and J.Mlynek",Optically controllable elements for integrated atom optics,The 4th Pacific Rim Conference on Lasers and Electro-Optics (CLEO/Pacific Rim 2001),2001/07/15,2001/07/19,Chiba,Japan,,"Technical Digest (IEEE Cat. No.01TH8557), II626-II627, (2001)."
"D.Schneble, M.Hasuo, T.Anker, T.Pfau and J.Mlynek",Integrated atom optics using light,Quantum Electronics and Laser Science Conference,2001/05/06,2001/05/11,Baltimore,USA,,"Technical Digest (IEEE Cat. No.01CH37172), 2, (2001)."
"M.Hasuo, D.Schneble, T.Anker, T.Pfau and J.Mlynek",Laser induced elements for integrated atom optics,The Seventh European Conference on Atomic and Molecular Physics (ECAMP VII),2001/04/02,2001/04/06,Berlin,Germany,,
"S.Tojo, A.Shimamoto, M.Hasuo and T.Fujimoto",Optical response of Rb atoms near glass surface in the attenuated total reflection,The Seventh European Conference on Atomic and Molecular Physics (ECAMP VII),2001/04/02,2001/04/06,Berlin,Germany,,
"M.Hasuo, Y.Ohta, T.Matsumoto and T.Fujimoto",Narrowing of the absorption spectrum of metastable argon atoms in a thin discharge cell,The Seventh European Conference on Atomic and Molecular Physics (ECAMP VII),2001/04/02,2001/04/06,Berlin,Germany,,
"M.Hasuo, M.Seo, K.Boku, T.Shimamura and T.Fujimoto",Disalignment of excited neon atoms due to helium atom collisions in low temperature regime,The Seventh European Conference on Atomic and Molecular Physics (ECAMP VII),2001/04/02,2001/04/06,Berlin,Germany,,
"D.Schneble, M.Hasuo, T.Anker, T.Pfau and J.Mlynek",Continuous loading of a planar surface atom waveguide,European Research Conference on “Quantum Optics”,2000/10/14,2000/10/19,Mallorca,Spain,,
"D.Schneble, M.Hasuo, T.Anker, T.Pfau and J.Mlynek",Continuous source for integrated atom optics,International Quantum Electronics Conference (IQEC),2000/09/10,2009/10/15,Nice,France,,
"D.Schneble, T.Anker, M.Hasuo, T.Pfau and J.Mlynek",Magneto-optische Speicherumg von Atomen an einer Oberflaeche,Fruehjahrsstangung der Deutschen Physikalischen Gesellschaft,2000/04/03,2000/04/07,Bonn,Germany,,
"Y.Ohta, T.Hanaoka, M.Hasuo and T.Fujimoto",Effects of Velocity Changing Collisions on Saturated Absorption on Excited Neon Atoms,21st International Conference on the Physics of Electronic and Atomic Collisions (XXI ICPEAC),1999/07/22,1999/07/27,Sendai,Japan,,
"Y.Ohta, T.Hanaoka, M.Hasuo and T.Fujimoto",Disalinment of Excited Neon Atoms due to Helium Atom Collisions in Low Temperatures,21st International Conference on the Physics of Electronic and Atomic Collisions (XXI ICPEAC),1999/07/22,1999/07/27,Sendai,Japan,,
,,,,,,,,
N. Yoneda,Impurity ion flow measurements in QUEST toroidal ECR plasmas using multiple viewing chords emission spectroscopy,Fuzhou Workshop on edge plasma stability & transport,2017/03/03,2017/03/04,Fuzhou,China,oral,
"N. Yoneda, T. Shikama, H. Zushi, K. Hanada, A. Fujikawa, T. Onchi, K. Kuroda, K. Nii, M. Hasuo, and QUEST team",Spectroscopic Measurements of Impurity Ion Toroidal and Poloidal Flow Velocities and Their Dependence on Vertical Magnetic Field in QUEST Toroidal ECR Plasmas,26th International Toki Conference (ITC-26),2017/12/05,2017/12/08,Toki,Japan,poster,
