authors,title,conference,date start,date end,city,country,kind (invited / oral / poster),presentation number
A. Fujikawa; T. Shikama; K. Nii; K. Hanada; H. Zushi; T. Onchi; M. Hasuo,Evaluation of Halpha intensity radial distribution in QUEST,4th A3 Foresight Summer School and Workshop on Spherical Torus,2016,,Kasuga,Japan,poster,
K. Nii; T. Shikama; A. Fujikawa; K. Hanada; H. Zushi; T. Onchi; M. Hasuo,Spatially-resolved spectroscopic measurement of impurity ion toroidal rotation in QUEST,4th A3 Foresight Summer School and Workshop on Spherical Torus,2016,,Kasuga,Japan,poster,
T. Shikama; S. Kado; H. Okada; S. Yamamoto; T. Mizuuchi; K. Nagasaki; Y. Nakamura; T. Minami; S. Kobayashi; S. Oshima; S. Konoshima; L. Matsuoka; M. Hasuo,Local measurement of the recycling flux in the Heliotron J plasma using high wavelength-resolution spectroscopy of a helium atom near-infrared emission line,The 7th International Symposium to Advanced Energy Science,2016,,Uji,Japan,poster,
T. Teramoto; T. Shikama; T. Higashi; M. Hasuo,Development of a polarization-modulation spectroscopy system for the temporally resolved measurement of polarization in plasma emission,8th Korea-Japan Seminar on Advanced Diagnostics for Steady-State Fusion Plasmas,2016,,Busan,Korea,poster,
,,,,,,,,
"K. Ueno, K. Kamebuchi, J. Kakutani, L. Matsuoka, S. Namba, K. Fujii, T. Shikama and M. Hasuo",Laser absorption spectroscopy for measurement of He metastable atoms of a microhollow cathode plasma,ISPlasma2017/IC-PLANTS2017,2017/05/01,2017/05/05,Kasugai,Japan,poster,
M. Hasuo,"Emission spectroscopy with total reflection geometry for an atmospheric pressure, low temperature plasma jet",ISPlasma2017/IC-PLANTS2017,2017/05/01,2017/05/05,Kasugai,Japan,poster,
"K. Kamebuchi, K. Katayama, K. Ueno, J. Kakutani, S. Namba, K. Fujii, T. Shikama and M. Hasuo",Spatially resolved laser absorption spectroscopy on a microhollow cathode argon plasma,ISPlasma2017/IC-PLANTS2017,2017/05/01,2017/05/05,Kasugai,Japan,poster,
M. Hasuo,Emission spectroscopy on an atmospheric pressure and low temperature plasma jet with total reflection geometry,International Conference on Research and Applications of Plasmas (PLASMA-2017),2017/09/18,2017/09/22,Warsaw,Poland,poster,
"M. Hasuo, K. Torii, S. Yamawaki, K. Katayama, J. Kakutani, K. Ueno, S. Namba, K. Fujii, T. Shikama and K. Kamebuchi",Spatially resolved absorption spectroscopy on microhollow cathode plasmas with noble gases using vertical-cavity surface-emitting lasers,The 18th International Symposium on Laser-Aided Plasma Diagnostics (LAPD18),2017/09/24,2017/09/28,Praque,Czech Republic,poster,
"H. Nakamura, S. Saito, K. Sawada, M. Hasuo, G. Kawamura, M. Kobayashi and A. Ito",Population Distribution of Molecular Hydrogen Desorbed from Plasma-Facing Material,The 26th International Toki Conference (ITC-26) &The 11th Asia Plasma and Fusion Association Conference (APFA-11),2017/12/05,2017/12/08,Toki,Japan,poster,
"K. Ueno, K. Kamebuchi, J. Kakutani, L. Matsuoka, S. Namba, K. Fujii, T. Shikama and M. Hasuo",Spatially resolved laser absorption spectroscopy on a microhollow cathode He plasma,ISPlasma2018/IC-PLANTS2018,2018/03/04,2018/03/08,Nagoya,Japan,poster,
"M. Hasuo, J. Kakutani, K. Ueno, K. Fujii, T. Shikama and M. Tanaka",Observation of excited particles near a surface irradiated with an atmospheric pressure plasma jet by total-reflection emission spectroscopy,ISPlasma2018/IC-PLANTS2018,2018/03/04,2018/03/08,Nagoya,Japan,poster,
"S. Saito, H. Nakamura, K. Sawada, M. Kobayashi, G. Kawamura and M. Hasuo",Development of Simulation Model of Hydrogen Recycling on Carbon Divertor by Molecular Dynamics Simulation,The 7th International Conference on Mathematical Modeling in Physical Sciences (ICMSquare),2018/08/27,2018/08/31,Moscow,Russia,poster,
"J. Kakutani, K. Ueno, K. Fujii, T. Shikama and M. Hasuo",Spatiotemporally resolved laser absorption spectroscopy on helium 23S metastable atoms in an atmospheric pressure and low temperature plasma jet,ISPlasma2019/IC-PLANTS2019,2019/3/17,2019/03/21,Nagoya,Japan,poster,
"S. Saito, H. Nakamura, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Molecular Dynamics Simulation for Hydrogen Recycling on Carbon Divertor,The International Workshop on Models and Data for Plasma-Material Interaction in Fusion Devices (MoD-PMI 2019),2019/06/18,2019/06/20,Toki,Japan,poster,
"K. Sawada, H. Nakamura, S. Saito, M. Kobayashi, G. Kawamura, and M. Hasuo",Neutral-Transport Code for Rovibrational Population Calculation of Molecular Hydrogen in LHD Plasmas,The 17th Plasma Edge Theory workshop (PET2019),2019/08/19,2019/08/21,California,USA,poster,
"S. Saito, H. Nakamura, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Method of Molecular Dynamics Simulation with Heat Transfer into Bulk for Hydrogen Recycling Model on Carbon Divertor,The 17th Plasma Edge Theory workshop (PET2019),2019/08/19,2019/08/21,California,USA,poster,
"S. Saito, H. Nakamura, T. Sawada, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Model of hydrogen recycling on divertor by molecular dynamics simulation for neutral transport analysis in LHD,The 28th International Toki Conference (ITC-28),2019/11/05,2019/11/08,Toki,Japan,,
"H. Nakamura, S. Saito, T. Sawada, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Hydrogen Isotopes Atoms and Molecules Desorbed from Amorphous Carbon,ISPlasma2020/IC-PLANTS2020,2020/03/08,2020/03/11,Nagoya,Japan,,
"S. Saito, H. Nakamura, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Molecular Dynamics Simulation Model of Hydrogen Recycling on Tungsten Divertor for Neutral Transport Analysis in Fusion Device,ISPlasma2020/IC-PLANTS2020,2020/03/08,2020/03/11,Nagoya,Japan,,
"H. Nakamura, S. Saito, T. Sawada, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Molecular dynamics simulation on energy distribution of hydrogen isotopes generated from tungsten,The 24th International Conference on Plasma Surface Interaction in Fusion Devices (PSI-24),2021/01/25,2021/01/29,Jeju (online),Korea,,
"S. Saito, H. Nakamura, T. Sawada, K. Sawada, M. Kobayashi, G. Kawamura, and M. Hasuo",Incident angle dependence of the atomic and molecular emission on hydrogen recycling on plasma facing materials,The 24th International Conference on Plasma Surface Interaction in Fusion Devices (PSI-24),2021/01/25,2021/01/29,Jeju (online),Korea,,
"H. Nakamura, S. Saito, T. Sawada, K. Sawada, G. Kawamura, M. Kobayashi and M. Hasuo",Rovibrational Distribution of Molecular Hydrogen Isotopes Desorbed from Amorphous Carbon,The 29th International Toki Conference (ITC-29),2020/10/27,2020/12/30,Toki (online),Japan,,
"S. Saito, H. Nakamura, T. Sawada, K. Sawada, G. Kawamura, M. Kobayashi and M. Hasuo",Molecular Dynamics Simulation of Hydrogen Recycling on Tungsten Materials,The 29th International Toki Conference (ITC-29),2020/10/27,2020/12/30,Toki (online),Japan,,
"A. Kuzmin, H. Ishihara, M. Kobayashi, T. Shikama K. Sawada, S. Saito, H. Nakamura, K. Fujii and M. Hasuo",Ro-vibrational population distribution in the ground state of hydrogen and deuterium molecules in LHD peripheral plasma deduced from emission spectroscopy,The 29th International Toki Conference (ITC-29),2020/10/27,2020/12/30,Toki,Japan,,
